basis,distance,rounds,physical_error_rate,shots,seed,logical_error_count,logical_error_rate,logical_error_rate_laplace,survival,suppression_R,log_suppression,E,grad_S,sigma,Df,formula_score,formula_log_score,syndrome_density,num_detectors,num_observables,duration_seconds
z,3,3,0.006,20000,3881676278,478,0.0239,0.023923803809809508,0.9761,0.25079623824451414,-1.3831144693609212,1.0,0.05291508034484766,4.347206496204173,3.0,1552.5705725830635,7.347667270154874,0.06891875,24,1,0.014368200001626974
z,3,3,0.012,20000,2452575919,1601,0.08005,0.0800709964501775,0.91995,0.14986699968779268,-1.89800704695718,1.0,0.09377790984777166,3.2655002819317267,3.0,371.32024468267525,5.917064883485181,0.12824583333333334,24,1,0.02413159999923664
z,3,3,0.024,20000,3999744042,4323,0.21615,0.2161641917904105,0.7838499999999999,0.11102671446744536,-2.1979844357485065,1.0,0.16334554318340233,2.474265817394028,3.0,92.73245905383364,4.529718562888584,0.2219625,24,1,0.04224609999801032
z,3,3,0.048,20000,1244174516,8629,0.43145,0.43145342732863357,0.56855,0.11125186859030071,-2.195958561759534,1.0,0.2778395739583094,1.8971555812924568,3.0,24.576200366978256,3.2017785098852434,0.34479375,24,1,0.07182909999755793
z,5,5,0.00075,20000,2195926008,3,0.00015,0.00017499125043747812,0.99985,4.285928571428571,1.4553372313568838,1.0,0.00886723175916466,10.619546482738869,5.0,15231469.018467579,16.538874175798764,0.011237916666666667,120,1,0.030941799999709474
z,5,5,0.0015,20000,579376697,8,0.0004,0.0004249787510624469,0.9996,3.5295882352941175,1.2611812169159262,1.0,0.016233651393198618,7.848594509369623,5.0,1834607.842095959,14.422341306602116,0.022226666666666665,120,1,0.033293000000412576
z,5,5,0.003,20000,487098563,68,0.0034,0.003424828758562072,0.9966,0.875956204379562,-0.1324391842960373,1.0,0.02946405184492225,5.8257757707922595,5.0,227759.42351357738,12.336045190835163,0.042334583333333335,120,1,0.05145440000342205
z,5,5,0.006,20000,1602651179,428,0.0214,0.02142392880355982,0.9786,0.2800606767794633,-1.2727489965057468,1.0,0.05291508034484766,4.347206496204173,5.0,29340.795902887396,10.286734178216824,0.0817875,120,1,0.09258449999833829
z,5,5,0.012,20000,1855164938,2460,0.123,0.12301884905754712,0.877,0.09754602723023777,-2.327430938214,1.0,0.09377790984777166,3.2655002819317267,5.0,3959.5704925118725,8.283890836879253,0.15008708333333334,120,1,0.2053364999992482
z,5,5,0.024,20000,2717974438,7432,0.3716,0.37160641967901603,0.6284000000000001,0.06458446014127145,-2.7397814522202744,1.0,0.16334554318340233,2.474265817394028,5.0,567.7073108123604,6.341605988044017,0.2538166666666667,120,1,0.34663109999746666
z,5,5,0.048,20000,3618463872,9898,0.4949,0.49490025498725065,0.5051,0.09698924079405971,-2.333155226279662,1.0,0.2778395739583094,1.8971555812924568,5.0,88.45464314837305,4.48248991383934,0.3760875,120,1,0.6176794999992126
z,7,7,0.00075,20000,2173395185,0,0.0,2.4998750062496874e-05,1.0,30.0015,3.401247380412197,1.0,0.00886723175916466,10.619546482738869,7.0,1717725377.226687,21.264266797455555,0.011953422619047619,336,1,0.08774489999996149
z,7,7,0.0015,20000,3294699033,2,0.0001,0.00012499375031248437,0.9999,12.0006,2.484956648538042,1.0,0.016233651393198618,7.848594509369623,7.0,113012642.54476978,18.543010251345578,0.023604315476190477,336,1,0.12489609999829554
z,7,7,0.003,20000,392766933,21,0.00105,0.0010749462526873656,0.99895,2.7908372093023255,1.0263416258385252,1.0,0.02946405184492225,5.8257757707922595,7.0,7730078.154638763,15.860629531073782,0.0461764880952381,336,1,0.1878757999984373
z,7,7,0.006,20000,2667041844,368,0.0184,0.018424078796060197,0.9816,0.3256607869742198,-1.1218989700973037,1.0,0.05291508034484766,4.347206496204173,7.0,554488.355902956,13.225801086278773,0.08817872023809524,336,1,0.3247311000013724
z,7,7,0.012,20000,3090763083,3322,0.1661,0.16611669416529173,0.8339,0.07223837471783295,-2.6277838684953676,1.0,0.09377790984777166,3.2655002819317267,7.0,42222.8486318301,10.650716790273325,0.15997306547619047,336,1,0.6627694000017073
z,7,7,0.024,20000,2329143853,9297,0.46485,0.4648517574121294,0.53515,0.05162936273191718,-2.963664723147247,1.0,0.16334554318340233,2.474265817394028,7.0,3475.4992376801233,8.15349341319945,0.2679720238095238,336,1,1.3108418000010715
