basis,distance,rounds,physical_error_rate,shots,seed,geom,logical_error_count,logical_error_rate,logical_error_rate_laplace,log_suppression,syndrome_density,num_detectors,num_qubits,duration_seconds
z,5,5,0.02,100000,3423432256,unrotated,37438,0.37438,0.3743812561874381,-2.929542406194294,0.23832195,200,81,2.5438498000003165
z,5,5,0.04,100000,3760493238,unrotated,49768,0.49768,0.497680023199768,-2.5210778927086603,0.36230485,200,81,4.206650599997374
z,7,7,0.0005,100000,2116866171,unrotated,0,0.0,4.999950000499995e-06,4.605180185938091,0.0085431462585034,588,169,0.34446249999746215
z,7,7,0.001,100000,2281273731,unrotated,2,2e-05,2.4999750002499974e-05,3.6888894540639368,0.016887431972789115,588,169,0.4763401000018348
z,7,7,0.002,100000,4160433839,unrotated,22,0.00022,0.00022499775002249978,2.1848120572876626,0.03324789115646259,588,169,0.7670730999998341
z,7,7,0.004,100000,3477473060,unrotated,398,0.00398,0.003984960150398496,0.0037670488277126066,0.06426947278911564,588,169,1.4887578999987454
z,7,7,0.006,100000,3694879919,unrotated,2111,0.02111,0.021114788852111478,-1.2582142192078516,0.09333403061224489,588,169,2.4093615999991016
z,7,7,0.008,100000,1758715699,unrotated,6327,0.06327,0.06327436725632744,-2.0680387648013516,0.12033571428571428,588,169,3.4991942000015115
z,7,7,0.01,100000,3565319204,unrotated,13507,0.13507,0.13507364926350737,-2.6032350867860834,0.1456348299319728,588,169,4.686675599998125
z,7,7,0.02,100000,1343630883,unrotated,46394,0.46394,0.46394036059639404,-3.1440237372137383,0.24865141156462586,588,169,10.066855100001703
z,7,7,0.04,100000,4139782651,unrotated,49659,0.49659,0.496590034099659,-2.5188853504938766,0.3738220918367347,588,169,16.601421100000152
z,9,9,0.0005,100000,3919569849,unrotated,0,0.0,4.999950000499995e-06,4.605180185938091,0.008810470679012345,1296,289,0.7881956000019272
z,9,9,0.001,100000,1046584352,unrotated,0,0.0,4.999950000499995e-06,5.298327366498037,0.017439174382716048,1296,289,1.06742690000101
z,9,9,0.002,100000,802468089,unrotated,0,0.0,4.999950000499995e-06,5.991474547057982,0.03429135802469136,1296,289,1.7298742000020866
z,9,9,0.004,100000,1996928762,unrotated,191,0.00191,0.001914980850191498,0.7365867384372816,0.06623694444444445,1296,289,3.496016100001725
z,9,9,0.006,100000,1805333554,unrotated,1620,0.0162,0.016204837951620484,-0.9935503674154553,0.09611501543209877,1296,289,5.9084499000018695
z,9,9,0.008,100000,254742537,unrotated,6656,0.06656,0.06656433435665643,-2.1187273722540443,0.12374601080246914,1296,289,8.992798400002357
z,9,9,0.01,100000,1704148078,unrotated,16422,0.16422,0.16422335776642233,-2.7986423458344905,0.1497187962962963,1296,289,12.35502859999906
z,9,9,0.02,100000,2221671585,unrotated,49436,0.49436,0.49436005639943603,-3.207531837253297,0.2546655709876543,1296,289,27.21351709999726
z,9,9,0.04,100000,2783200726,unrotated,49947,0.49947,0.499470005299947,-2.524668092722076,0.3798745216049383,1296,289,44.60887969999749
