basis,distance,rounds,physical_error_rate,shots,seed,noise_model,logical_error_count,logical_error_rate,logical_error_rate_laplace,survival,suppression_R,log_suppression,E_v2,grad_S_v2,sigma_v2,Df,formula_score_v2,formula_log_score_v2,log_E_over_grad_S,Df_ln_sigma,p_threshold,below_threshold,E_v1,grad_S_v1,sigma_v1,formula_score_v1,formula_log_score_v1,syndrome_density,num_detectors,num_observables,duration_seconds
z,5,5,0.0005,20000,645392705,meas,0,0.0,2.4998750062496874e-05,1.0,20.001,2.995782272304033,0.9995,0.07071067811865475,3.760603093086394,5.0,10631.273497993037,9.271555266417382,2.648658558232336,6.6228967081850465,0.007071067811865475,True,1.0,0.006204059295831671,12.695857231665633,53166027.32032967,17.788930166125805,0.006729583333333333,120,1,0.041098300000157906
z,5,5,0.001,20000,903724936,meas,1,5e-05,7.499625018749062e-05,0.99995,13.334000000000001,2.590317164195868,0.999,0.1414213562373095,2.6591479484724942,5.0,939.2106224983269,6.845039759165672,1.9550110023804896,4.890028756785182,0.007071067811865475,True,1.0,0.011407757737461138,9.362672992727516,6306653.726318073,15.657115781065478,0.013407916666666667,120,1,0.023642000000108965
z,5,5,0.002,20000,215322660,meas,4,0.0002,0.00022498875056247187,0.9998,8.889333333333333,2.184852056087704,0.998,0.282842712474619,1.880301546543197,5.0,82.93217664298594,4.418023124868774,1.2608623194834545,3.1571608053853195,0.007071067811865475,True,1.0,0.020814071335501033,6.931408277783559,768688.4660274368,13.552441050707206,0.02618875,120,1,0.03166849999979604
z,5,5,0.004,20000,3540747292,meas,41,0.00205,0.002074896255187241,0.99795,1.9278072289156625,0.6563832061872705,0.996,0.565685424949238,1.3295739742362471,5.0,7.315548204519625,1.9900019741820996,0.5657091201966437,1.424292853985456,0.007071067811865475,True,1.0,0.037622360322278434,5.155573476632125,96814.15633727472,11.480548505725846,0.05114041666666667,120,1,0.06879950000075041
z,5,5,0.006,20000,3489695406,meas,138,0.0069,0.006924653767311635,0.9931,0.8664693140794224,-0.1433285840953055,0.994,0.848528137423857,1.0855926040543844,5.0,1.7662595198639381,0.5688640448755006,0.15823396116045502,0.41063008371504556,0.007071067811865475,True,1.0,0.05291508034484766,4.347206496204173,29340.795902887396,10.286734178216824,0.07487666666666666,120,1,0.08817609999823617
z,5,5,0.008,20000,124822000,meas,296,0.0148,0.014824258787060647,0.9852,0.5396559865092748,-0.6168234044539117,0.992,1.131370849898476,0.9401507732715985,5.0,0.6440123937706824,-0.4400373080774341,-0.13146221066302716,-0.30857509741440686,0.007071067811865475,False,1.0,0.06722154475830686,3.8569655144504904,12697.560496408267,9.449165167098645,0.09821291666666666,120,1,0.11811020000095596
z,5,5,0.01,20000,3554377350,meas,526,0.0263,0.02632368381580921,0.9737,0.3798860398860399,-0.9678839662759517,0.99,1.4142135623730951,0.8408964152537146,5.0,0.29432876096317356,-1.2230579018334053,-0.3566239261334742,-0.8664339756999312,0.007071067811865475,False,1.0,0.08079313589591118,3.5181371628382068,6670.975906091855,8.805521440964402,0.11927458333333334,120,1,0.14953560000139987
z,5,5,0.02,20000,690384162,meas,3049,0.15245,0.15246737663116844,0.84755,0.13117560255779637,-2.0312183758784874,0.98,2.8284271247461903,0.5946035575013605,5.0,0.025752452717145,-3.6592254052572324,-1.0599234781574374,-2.5993019270997952,0.007071067811865475,False,1.0,0.14144054254182067,2.6589675866340143,939.7044913129173,6.845565454895441,0.21361166666666667,120,1,0.3369434000014735
z,5,5,0.04,20000,1158839439,meas,8432,0.4216,0.4216039198040098,0.5784,0.09487577823895642,-2.3551868405178364,0.96,5.656854249492381,0.4204482076268573,5.0,0.0022297633406301027,-6.105859824419777,-1.7736899459201185,-4.332169878499657,0.007071067811865475,False,1.0,0.24229218908241482,2.0315629930625523,142.8275714749937,4.96163810882439,0.3443395833333333,120,1,0.6622704000001249
z,7,7,0.0005,20000,2270801214,meas,0,0.0,2.4998750062496874e-05,1.0,20.001,2.995782272304033,0.9995,0.07071067811865475,3.760603093086394,7.0,150348.9116615941,11.9207139496914,2.648658558232336,9.272055391459066,0.007071067811865475,True,1.0,0.006204059295831671,12.695857231665633,8569554993.784535,22.87148164216175,0.00675327380952381,336,1,0.09029910000026575
z,7,7,0.001,20000,1827928955,meas,0,0.0,2.4998750062496874e-05,1.0,40.002,3.688929452863978,0.999,0.1414213562373095,2.6591479484724942,7.0,6641.222001310054,8.801051261879746,1.9550110023804896,6.846040259499255,0.007071067811865475,True,1.0,0.011407757737461138,9.362672992727516,552839030.373874,20.13057743279847,0.013497916666666667,336,1,0.0921760000019276
