trial,mode,cand_label,cand_value,lockin_I,lockin_Q,lockin_mag,temp_c,route
24,public,c1,223,0.066343547,-0.215605722,0.225582122,45.0,4:5
25,public,c0,118,0.077920851,-0.242162770,0.254390382,45.0,4:5
25,public,c1,138,0.083231069,-0.210394421,0.226259195,45.0,4:5
26,public,c0,65,0.054408293,-0.208583532,0.215562873,45.0,4:5
26,public,c1,191,0.077511220,-0.214102486,0.227701260,45.0,4:5
27,public,c0,99,0.053347164,-0.221088216,0.227433329,45.0,4:5
27,public,c1,157,0.060703138,-0.234884448,0.242601680,45.0,4:5
28,public,c0,61,0.094933119,-0.246475689,0.264126035,45.0,4:5
28,public,c1,195,0.081831888,-0.256367649,0.269111184,45.0,4:5
29,public,c0,85,0.078251620,-0.244479935,0.256697789,44.5,4:5
29,public,c1,171,0.070650462,-0.227752373,0.238458867,44.5,4:5
30,public,c0,105,0.088200451,-0.212807745,0.230361576,44.6,4:5
30,public,c1,151,0.059809668,-0.253692397,0.260647327,44.6,4:5
31,public,c0,95,0.086766044,-0.241271773,0.256398937,45.0,4:5
31,public,c1,161,0.062097964,-0.209239823,0.218260076,45.0,4:5
32,public,c0,63,0.083549707,-0.225498389,0.240478849,44.5,4:5
32,public,c1,193,0.061868683,-0.250803800,0.258322047,44.5,4:5
33,public,c0,126,0.111337123,-0.241683331,0.266095448,44.8,4:5
33,public,c1,130,0.093003047,-0.231472229,0.249457330,44.8,4:5
34,public,c0,105,0.092754821,-0.277447807,0.292541865,45.0,4:5
34,public,c1,151,0.074520807,-0.202926835,0.216177360,45.0,4:5
35,public,c0,58,0.049218362,-0.215024702,0.220585743,45.0,4:5
35,public,c1,198,0.013722567,-0.187509454,0.188010915,45.0,4:5
36,public,c0,109,0.079186304,-0.224950974,0.238481470,45.0,4:5
36,public,c1,147,0.089003245,-0.248882109,0.264317767,45.0,4:5
37,public,c0,68,0.083471873,-0.248962450,0.262583044,45.0,4:5
37,public,c1,188,0.081254617,-0.263746959,0.275979657,45.0,4:5
38,public,c0,39,0.027822653,-0.277836285,0.279225896,44.9,4:5
38,public,c1,217,0.092694189,-0.224963864,0.243312459,44.9,4:5
39,public,c0,37,0.079468770,-0.223170995,0.236897823,44.5,4:5
39,public,c1,219,0.046396009,-0.218099915,0.222980184,44.5,4:5
40,public,c0,76,0.039044827,-0.220249159,0.223683237,44.5,4:5
40,public,c1,180,0.067004512,-0.239610352,0.248802584,44.5,4:5
41,public,c0,102,0.085132153,-0.218400097,0.234405814,45.0,4:5
41,public,c1,154,0.137217804,-0.235619590,0.272663376,45.0,4:5
0,same_candidate,c0,15,0.070789454,-0.252485783,0.262221696,44.5,4:5
0,same_candidate,c0,15,0.067539259,-0.252483792,0.261361084,44.5,4:5
