basis,distance,rounds,physical_error_rate,shots,seed,geom,logical_error_count,logical_error_rate,logical_error_rate_laplace,log_suppression,syndrome_density,num_detectors,num_qubits,duration_seconds
z,3,3,0.0055,100000,961967169,rotated,1993,0.01993,0.01993480065199348,-1.2877188886448927,0.06358958333333334,24,26,0.06009029999768245
z,3,3,0.006,100000,3605186604,rotated,2392,0.02392,0.023924760752392474,-1.3831544681609627,0.06923,24,26,0.06197650000103749
z,3,3,0.0065,100000,1703661720,rotated,2725,0.02725,0.02725472745272547,-1.4334248136646524,0.07467541666666666,24,26,0.06779639999876963
z,3,3,0.007,100000,799522106,rotated,3135,0.03135,0.031354686453135466,-1.4994535949896703,0.07939375,24,26,0.07356050000089454
z,3,3,0.0075,100000,1082884484,rotated,3571,0.03571,0.03571464285357146,-1.5606577481146706,0.08484083333333334,24,26,0.07713460000013583
z,3,3,0.008,100000,1350799767,rotated,3992,0.03992,0.03992460075399246,-1.6075511524712398,0.08992916666666667,24,26,0.0790448000007018
z,3,3,0.009,100000,2899690095,rotated,5006,0.05006,0.05006449935500645,-1.7160875838735465,0.09989666666666666,24,26,0.08850899999742978
z,3,3,0.01,100000,3005089319,rotated,5976,0.05976,0.05976440235597644,-1.7878251123858981,0.10946083333333333,24,26,0.09834929999851738
z,5,5,0.004,100000,921514918,rotated,730,0.0073,0.007304926950730492,-0.6022546841327718,0.05613841666666667,120,64,0.3070808999982546
z,5,5,0.005,100000,1430995085,rotated,1369,0.01369,0.013694863051369487,-1.0075828903309407,0.06919325,120,64,0.3899885000028007
z,5,5,0.0055,100000,2351584527,rotated,1809,0.01809,0.018094819051809482,-1.1908775648272802,0.07555566666666666,120,64,0.3983160999996471
z,5,5,0.006,100000,1495869045,rotated,2291,0.02291,0.022914770852291478,-1.3400222487830322,0.08173091666666667,120,64,0.3634148000019195
z,5,5,0.0065,100000,2421359685,rotated,2942,0.02942,0.02942470575294247,-1.5100324762947488,0.08787208333333334,120,64,0.3841352999988885
z,5,5,0.007,100000,173826858,rotated,3469,0.03469,0.034694653053469464,-1.6006754353461985,0.09429683333333333,120,64,0.4088612999985344
z,5,5,0.0075,100000,1151766379,rotated,4152,0.04152,0.04152458475415246,-1.7113826350070935,0.1000535,120,64,0.43472860000110813
z,5,5,0.008,100000,2260622737,rotated,5011,0.05011,0.05011449885501145,-1.8348688228469932,0.10596725,120,64,0.5741259999995236
z,5,5,0.009,100000,4233715654,rotated,6615,0.06615,0.06615433845661543,-1.9947658962081547,0.11731275,120,64,0.6935052000008
z,5,5,0.01,100000,304260343,rotated,8348,0.08348,0.08348416515834842,-2.1220718820568742,0.12827833333333333,120,64,0.7757335000023886
z,7,7,0.004,100000,1961643123,rotated,445,0.00445,0.004454955450445495,-0.10772269985288156,0.06036241071428571,336,118,0.9192866000012145
z,7,7,0.005,100000,1192552888,rotated,1021,0.01021,0.01021489785102149,-0.7144093158854846,0.07455964285714285,336,118,1.0888121999996656
z,7,7,0.0055,100000,566218913,rotated,1445,0.01445,0.014454855451445486,-0.9662822832798839,0.08130556547619047,336,118,1.1314173999999184
z,7,7,0.006,100000,1835428662,rotated,1966,0.01966,0.019664803351966482,-1.1870709367057177,0.08793053571428572,336,118,1.293610600001557
z,7,7,0.0065,100000,1430290405,rotated,2677,0.02677,0.02677473225267747,-1.4156564394822206,0.09455502976190476,336,118,1.6258362000007764
z,7,7,0.007,100000,3564510517,rotated,3292,0.03292,0.032924670753292466,-1.548312098624031,0.10092898809523809,336,118,1.5317461999984516
z,7,7,0.0075,100000,183707649,rotated,4205,0.04205,0.04205457945420546,-1.7240652649221357,0.10728398809523809,336,118,1.9197753999978886
z,7,7,0.008,100000,2436632485,rotated,5265,0.05265,0.05265447345526545,-1.8843096592027242,0.1135903869047619,336,118,1.9319969000025594
