basis,distance,rounds,physical_error_rate,shots,seed,logical_error_count,logical_error_rate,logical_error_rate_laplace,survival,suppression_R,log_suppression,E,grad_S,sigma,Df,formula_score,formula_log_score,syndrome_density,num_detectors,num_observables,duration_seconds
x,5,5,0.04,20000,4062325933,9767,0.48835,0.4883505824708765,0.5116499999999999,0.08190836959303813,-2.5021541005112566,1.0,0.24229218908241482,2.0315629930625523,5.0,142.8275714749937,4.96163810882439,0.3485525,120,1,0.4593683000020974
x,7,7,0.001,20000,1771698459,1,5e-05,7.499625018749062e-05,0.99995,13.334000000000001,2.590317164195868,1.0,0.011407757737461138,9.362672992727516,7.0,552839030.373874,20.13057743279847,0.016088839285714286,336,1,0.06625110000095447
x,7,7,0.002,20000,593830317,5,0.00025,0.00027498625068746564,0.99975,7.273090909090909,1.9841813606255527,1.0,0.020814071335501033,6.931408277783559,7.0,36931192.05930371,17.424567065194978,0.031684375,336,1,0.09552049999911105
x,7,7,0.005,20000,4057222954,244,0.0122,0.012224388780560973,0.9878,0.4090184049079754,-0.8939951241767938,1.0,0.0454146923337941,4.692473317686164,7.0,1103103.6112777265,13.913638229705832,0.07508556547619048,336,1,0.21011340000040946
x,7,7,0.01,20000,3200103201,2421,0.12105,0.12106894655267236,0.87895,0.08259756349370226,-2.4937750965452055,1.0,0.08079313589591118,3.5181371628382068,7.0,82568.59734577357,11.321384709811374,0.13927142857142857,336,1,0.47447009999814327
x,7,7,0.02,20000,1098946138,8635,0.43175,0.4317534123293835,0.5682499999999999,0.04632273753691159,-3.0721223469259504,1.0,0.14144054254182067,2.6589675866340143,7.0,6643.812830646267,8.80144129915128,0.239521875,336,1,1.030623700000433
x,7,7,0.04,20000,92209014,10025,0.50125,0.5012499375031249,0.49875,0.07980050870280785,-2.5282253998247897,1.0,0.24229218908241482,2.0315629930625523,7.0,589.4848365351614,6.37924899705993,0.36265550595238094,336,1,1.7167134000010265
x,9,9,0.001,20000,2749123000,0,0.0,2.4998750062496874e-05,1.0,40.002,3.688929452863978,1.0,0.011407757737461138,9.362672992727516,9.0,48461673459.144775,24.604039084531465,0.01678361111111111,720,1,0.18770059999951627
x,9,9,0.002,20000,3522129179,1,5e-05,7.499625018749062e-05,0.99995,26.668000000000003,3.2834643447558136,1.0,0.020814071335501033,6.931408277783559,9.0,1774337728.7418482,21.29669307968275,0.03289020833333333,720,1,0.24174590000257012
x,9,9,0.005,20000,3600825656,174,0.0087,0.00872456377181141,0.9913,0.5730945558739255,-0.5567045569043487,1.0,0.0454146923337941,4.692473317686164,9.0,24289575.786840294,17.00555783630713,0.07810458333333334,720,1,0.4818717000016477
x,9,9,0.01,20000,4283251557,3005,0.15025,0.15026748662566872,0.84975,0.06654799534187324,-2.7098318571811384,1.0,0.08079313589591118,3.5181371628382068,9.0,1021975.3996447144,13.837247978658345,0.14430854166666668,720,1,1.2440142999985255
x,9,9,0.02,20000,1664203909,9625,0.48125,0.48125093745312736,0.51875,0.041558360604643914,-3.180656560000656,1.0,0.14144054254182067,2.6589675866340143,9.0,46972.478408599476,10.757317143407121,0.24637979166666665,720,1,2.626803299997846
x,9,9,0.04,20000,258108113,9840,0.492,0.492000399980001,0.508,0.08130074691326661,-2.509600075345523,1.0,0.24229218908241482,2.0315629930625523,9.0,2432.950227440681,7.79685988529547,0.37063305555555554,720,1,4.353230000000622
z,3,3,0.001,20000,3977041978,21,0.00105,0.0010749462526873656,0.99895,0.9302790697674419,-0.07227066282958441,1.0,0.011407757737461138,9.362672992727516,3.0,71944.77784389314,11.183654129332485,0.012597916666666667,24,1,0.004537900000286754
z,3,3,0.002,20000,2349824453,58,0.0029,0.0029248537573121343,0.9971,0.6837948717948719,-0.38009730137383274,1.0,0.020814071335501033,6.931408277783559,3.0,15999.536566671928,9.680315036219433,0.023933333333333334,24,1,0.005629399998724693
z,3,3,0.005,20000,287535356,365,0.01825,0.018274086295685214,0.98175,0.27361149110807115,-1.2960460944517,1.0,0.0454146923337941,4.692473317686164,3.0,2275.1448882574455,7.72979901650324,0.05798333333333333,24,1,0.010558999998465879
z,3,3,0.01,20000,3646059333,1130,0.0565,0.056522173891305434,0.9435,0.176921716054843,-1.7320479264199462,1.0,0.08079313589591118,3.5181371628382068,3.0,538.9690629392286,6.28965817211743,0.108825,24,1,0.014846900001430186
