basis,distance,rounds,physical_error_rate,shots,seed,noise_model,logical_error_count,logical_error_rate,logical_error_rate_laplace,log_suppression,syndrome_density,duration_seconds
z,5,5,0.04,100000,1639141321,meas,42237,0.42237,0.42237077629223707,-2.357004090970517,0.3440945,2.798856599998544
z,7,7,0.0005,100000,3669871624,meas,0,0.0,4.999950000499995e-06,4.605180185938091,0.0067597916666666666,0.1711799999975483
z,7,7,0.001,100000,870579914,meas,0,0.0,4.999950000499995e-06,5.298327366498037,0.013406994047619048,0.3189849000009417
z,7,7,0.002,100000,3383222087,meas,2,2e-05,2.4999750002499974e-05,4.382036634623882,0.026517886904761905,0.4009726000003866
z,7,7,0.004,100000,4122960794,meas,35,0.00035,0.00035499645003549964,2.421941850576612,0.0518708630952381,0.7317193000017141
z,7,7,0.006,100000,516134838,meas,217,0.00217,0.002174978250217498,1.0147408046374078,0.07590916666666667,0.9242846999986796
z,7,7,0.008,100000,2054558045,meas,735,0.00735,0.007354926450735493,0.08407118757643535,0.09902592261904762,1.4681923999996798
z,7,7,0.01,100000,3766985635,meas,1711,0.01711,0.01711482885171148,-0.5373601790381025,0.1208896130952381,1.9070396999995864
z,7,7,0.02,100000,3468091132,meas,17102,0.17102,0.17102328976710232,-2.1460674711430703,0.2157714880952381,4.874249799999234
z,7,7,0.04,100000,1564463685,meas,47263,0.47263,0.472630273697263,-2.4694339663470215,0.34656324404761907,9.618470199999138
z,9,9,0.0005,100000,2582997235,meas,0,0.0,4.999950000499995e-06,4.605180185938091,0.006786916666666667,0.43604389999745763
z,9,9,0.001,100000,3192059882,meas,0,0.0,4.999950000499995e-06,5.298327366498037,0.01349976388888889,0.5134448999997403
z,9,9,0.002,100000,1118181509,meas,0,0.0,4.999950000499995e-06,5.991474547057982,0.026715444444444444,1.0123727999998664
z,9,9,0.004,100000,2988396953,meas,10,0.0001,0.0001049989500104999,3.6400992898945046,0.05218131944444444,1.708819499999663
z,9,9,0.006,100000,1192280334,meas,94,0.00094,0.0009449905500944991,1.8483398206664496,0.07642902777777778,2.4906273999986297
z,9,9,0.008,100000,1563327581,meas,345,0.00345,0.0034549654503454965,0.8396290844102031,0.09946220833333333,3.41871589999937
z,9,9,0.01,100000,1999637567,meas,1013,0.01013,0.01013489865101349,-0.013399686959917306,0.12150769444444444,4.3528420999973605
z,9,9,0.02,100000,3458588940,meas,18639,0.18639,0.1863931360686393,-2.232125804353394,0.217022,11.525903699999617
z,9,9,0.04,100000,2538845651,meas,49199,0.49199,0.49199008009919903,-2.509579099775106,0.34783033333333335,25.480887900001107
z,11,11,0.0005,100000,79671788,meas,0,0.0,4.999950000499995e-06,4.605180185938091,0.006820545454545454,0.8756308999982139
z,11,11,0.001,100000,1055565780,meas,0,0.0,4.999950000499995e-06,5.298327366498037,0.013543287878787879,1.0929548000021896
z,11,11,0.002,100000,3940955557,meas,0,0.0,4.999950000499995e-06,5.991474547057982,0.02681490909090909,1.7947414999980538
z,11,11,0.004,100000,3311944119,meas,2,2e-05,2.4999750002499974e-05,5.075183815183827,0.05232041666666667,3.016097499999887
z,11,11,0.006,100000,27289068,meas,19,0.00019,0.0001949980500194998,3.4265251895964455,0.07674470454545454,4.577178200001072
z,11,11,0.008,100000,3538644308,meas,133,0.00133,0.0013349866501334987,1.7905202497776234,0.09992561363636364,6.415706199997658
z,11,11,0.01,100000,547406797,meas,540,0.0054,0.005404945950540495,0.6152706418528744,0.12200846212121212,8.369082799999887
z,11,11,0.02,100000,641750859,meas,20092,0.20092,0.2009229907700923,-2.3071894305947906,0.21756190909090908,23.73297040000034
z,11,11,0.04,100000,989391503,meas,49870,0.4987,0.49870001299987,-2.5231252845056558,0.3485998712121212,50.67087410000022
